"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"274",0.2,0.228571428571429,0.82,0.87,0.048,104.559454860521,0.07,0.038,0.01,0,0.46,0.45,0.13,0.5446,0.54,0.01,6.29,16.2,29.3,6.29,16.2,29.3,0.03,0,0,1600,572.81,603.93,1632.35,0.95,0.85,0.016,13647813.5040652,379.776888416708,35936.3982388792
"275",0.6,0.357142857142857,0.2,0.02,0.045,54.2623585504315,0.07,0.04,0.032,0,0.12,0.35,0.11,0.601,0.43,0.3,6.79,16.7,39.3,6.79,16.7,39.3,0.06,0.03,0,850,422.81,803.93,1932.35,0.9,0.75,0.025,6747097.62360473,22.8239689096404,295614.564246751
"276",0.5,0.2,0.68,0.87,0.047,56.5899615562224,0.08,0.061,0.041,0,0.22,0.45,0.32,0.845,0.75,0.38,6.29,20.7,24.3,6.29,20.7,24.3,0.03,0.03,0,750,572.81,1203.93,1582.35,1,0.7,0.016,5620611.20924112,598.293845943384,9394.39916915507
"277",0.6,0.283333333333333,0.24,0.22,0.046,72.3555572631568,0.06,0.037,0.014,0,0.49,0.25,0.17,0.7615,0.55,0.47,6.29,8.7,27.3,6.29,8.7,27.3,0.06,0.03,0,850,472.81,953.93,1332.35,1,0.8,0.017,6756368.74164523,127.63139475448,52936.5737532074
"278",0.1,0.4,0.84,0.16,0.05,89.3969024648669,0.06,0.045,0.06,0,0.35,0.35,0.29,0.7162,0.57,0.34,5.79,22.2,33.3,5.79,22.2,33.3,0.03,0,0,1550,622.81,1153.93,1282.35,0.85,0.65,0.024,13025396.8219652,217.760043554409,59815.3665353704
"279",0.1,0.1875,0.9,0.37,0.047,44.4906618014399,0.08,0.041,0.019,0,0.14,0.13,0.31,0.34,0.34,0,6.29,22.7,40.3,6.29,22.7,40.3,0,0.06,0,1950,422.81,1253.93,1582.35,0.75,0.7,0.015,14877634.1397526,319.298274699021,46594.7839955497
"280",1,0.3,0.67,0.31,0.045,72.5401673647909,0.07,0.093,0.089,0,0.44,0.39,0.27,0.6815,0.65,0.09,6.29,23.7,23.8,6.29,23.7,23.8,0,0.03,0,2200,422.81,853.93,1532.35,0.9,0.7,0.021,17036307.9158427,171.125372127846,99554.5412349201
"281",0.4,0.285714285714286,0.85,0.6,0.046,96.4901110531283,0.07,0.077,0.068,0,0.33,0.41,0.21,0.272,0.2,0.09,6.29,22.2,34.8,6.29,22.2,34.8,0.06,0.03,0,1700,472.81,903.93,1032.35,0.8,0.75,0.02,13339077.4320949,246.566975359752,54099.2053482938
"282",0.4,0.316666666666667,0.06,0.46,0.047,57.6715079762634,0.06,0.076,0.054,0,0.34,0.21,0.43,0.7907,0.77,0.09,5.79,19.2,20.8,5.79,19.2,20.8,0.03,0.06,0,2500,522.81,603.93,1732.35,0.9,0.8,0.019,18737231.0320787,248.080439135066,75528.8530502695
"283",0,0.266666666666667,0.76,0.13,0.05,71.721256949425,0.06,0.055,0.089,0,0.36,0.26,0.48,0.78,0.6,0.45,6.79,16.7,36.3,6.79,16.7,36.3,0.06,0.03,0,2100,672.81,903.93,1532.35,1,0.85,0.016,16795985.7441451,104.617937416946,160545.946124001
"284",0.2,0.328571428571429,0.62,0.39,0.049,44.7703827527192,0.07,0.082,0.079,0,0.47,0.39,0.14,0.4813,0.43,0.09,6.79,19.7,26.8,6.79,19.7,26.8,0,0.03,0,700,572.81,753.93,1932.35,1,0.7,0.023,5412600.88404199,444.252349496984,12183.6179148418
"285",0.5,0.285714285714286,0.78,0.29,0.048,92.2616058612686,0.07,0.093,0.047,0,0.23,0.47,0.23,0.706,0.51,0.4,5.79,16.7,33.8,5.79,16.7,33.8,0.03,0.06,0,900,522.81,1103.93,1932.35,0.9,0.75,0.02,6137790.42997946,203.040667457233,30229.3649190859
"286",0.2,0.35,0.31,0.32,0.047,83.950549699938,0.06,0.018,0.039,0,0.37,0.35,0.29,0.7745,0.59,0.45,6.29,8.2,25.8,6.29,8.2,25.8,0.03,0.06,0,750,472.81,853.93,1982.35,0.85,0.7,0.021,5478775.16097889,314.051368940846,17445.4745395835
"287",0.2,0.275,0.55,0.77,0.048,34.8851954961839,0.08,0.025,0.078,0,0.37,0.19,0.1,0.8976,0.84,0.36,6.79,19.7,25.8,6.79,19.7,25.8,0,0.03,0,2250,622.81,1103.93,1832.35,0.75,0.7,0.022,17915269.8551025,675.919805575521,26505.0227960821
"288",0.8,0.225,0.83,0.33,0.05,21.4653163908455,0.08,0.027,0.018,0,0.15,0.12,0.17,0.8852,0.86,0.18,6.29,19.2,22.3,6.29,19.2,22.3,0,0,0,500,472.81,1153.93,1482.35,0.95,0.85,0.018,3276087.19606482,148.163537895,22111.2916349669
"289",0,0.314285714285714,0.15,0.32,0.046,70.1496532842824,0.07,0.033,0.071,0,0.4,0.2,0.28,0.3276,0.18,0.18,6.29,16.2,36.3,6.29,16.2,36.3,0,0,0,1900,522.81,1103.93,1732.35,0.8,0.75,0.022,16500979.2404289,303.249203172189,54413.9244813099
"290",0,0.228571428571429,0.65,0.48,0.049,40.5998136704908,0.07,0.02,0.063,0,0.37,0.27,0.36,0.838,0.8,0.19,6.79,12.7,34.3,6.79,12.7,34.3,0.03,0.03,0,1000,572.81,1153.93,1382.35,0.75,0.65,0.016,7945072.33547589,547.235718720322,14518.5558319456
