"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"863",0.6,0.254545454545455,0.05,0.54,0.047,104.462186601697,0.055,0.049,0.008,0,0.44,0.1,0.25,0.568,0.46,0.2,6.29,12.2,26.3,6.29,12.2,26.3,0.06,0,0,1900,472.81,1003.93,1932.35,0.95,0.75,0.014,16587468.2419896,226.251844872198,73314.1789467364
"864",0.2,0.266666666666667,0.65,0.78,0.046,39.3433661162279,0.06,0.009,0.064,0,0.33,0.49,0.21,0.7956,0.72,0.27,6.79,11.2,29.3,6.79,11.2,29.3,0.03,0.06,0,600,572.81,1153.93,1682.35,0.9,0.7,0.016,4341756.66200471,739.344224505958,5872.44279199711
"865",0.3,0.283333333333333,0.59,0.72,0.05,104.894690616342,0.06,0.049,0.029,0,0.45,0.48,0.39,0.5732,0.56,0.03,6.29,10.2,30.8,6.29,10.2,30.8,0,0,0,1000,472.81,1003.93,1032.35,0.9,0.7,0.017,8510259.13334195,632.795237078612,13448.6776048296
"866",0.2,0.2,0.59,0.79,0.045,74.9147739990827,0.06,0.054,0.077,0,0.4,0.32,0.41,0.577,0.53,0.1,6.79,10.7,32.8,6.79,10.7,32.8,0,0.03,0,700,672.81,1003.93,1582.35,0.95,0.85,0.012,5622721.80844854,422.205815057249,13317.4902095702
"867",0.1,0.3,0.89,0.07,0.046,28.941739246784,0.06,0.016,0.002,0,0.34,0.4,0.49,0.208,0.12,0.1,6.79,13.2,21.8,6.79,13.2,21.8,0.03,0.03,0,2150,572.81,1003.93,1982.35,1,0.65,0.018,17225185.0835532,90.2211859330059,190921.732023605
"868",0.8,0.230769230769231,0.86,0.71,0.051,27.9695847758081,0.065,0.012,0.001,0,0.36,0.17,0.3,0.8394,0.78,0.27,6.29,13.2,34.8,6.29,13.2,34.8,0.06,0.06,0,850,472.81,1103.93,1482.35,1,0.7,0.015,5565656.41824496,354.43979344862,15702.6849725093
"869",0.2,0.276923076923077,0.61,0.58,0.052,59.7558889595473,0.065,0.08,0.023,0,0.48,0.41,0.18,0.8232,0.66,0.48,6.29,9.7,35.8,6.29,9.7,35.8,0.03,0,0,950,572.81,703.93,1132.35,0.85,0.8,0.018,7957630.08159234,381.695743707839,20848.0975037629
"870",0.8,0.25,0.51,0.6,0.046,50.7819059300617,0.06,0.093,0.029,0,0.1,0.37,0.34,0.8488,0.76,0.37,6.79,24.7,31.3,6.79,24.7,31.3,0.03,0.03,0,2200,472.81,1203.93,1682.35,0.85,0.75,0.015,17534368.661271,130.318327168548,134550.289604262
"871",0.7,0.215384615384615,0.66,0.18,0.046,59.3441894225961,0.065,0.084,0.004,0,0.22,0.17,0.43,0.6633,0.63,0.09,5.79,21.2,24.8,5.79,21.2,24.8,0,0,0,2000,472.81,603.93,1232.35,0.9,0.7,0.014,17309007.2383062,106.036326639805,163236.579263097
"872",0.3,0.363636363636364,0.62,0.66,0.05,129.413752172334,0.055,0.059,0.068,0,0.13,0.2,0.37,0.3925,0.19,0.25,6.29,20.2,41.3,6.29,20.2,41.3,0.03,0.06,0,1950,522.81,1103.93,1132.35,1,0.8,0.02,14559072.8305922,387.657541905372,37556.5318787119
