"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1144",0.9,0.341463414634146,0.07,0.63,0.032,43.6973620862192,0.082,0.231,0.036,0,0.44,0.14,0.18,0.6064,0.52,0.18,6.29,16.2,36.3,6.29,16.2,36.3,0.03,0,0,1700,422.81,1253.93,1082.35,0.85,0.8,0.028,14916074.7743146,101.840966514093,146464.387415751
"1145",0.3,0.235294117647059,0.6,0.79,0.027,32.3547403056062,0.085,0.222,0.015,0,0.29,0.28,0.43,0.2531,0.23,0.03,5.79,17.2,31.8,5.79,17.2,31.8,0.03,0.03,0,500,372.81,653.93,2082.35,0.9,0.8,0.02,4298982.60916783,420.238907790045,10229.8538509329
"1146",0.7,0.3375,0.02,0.32,0.031,39.7629724354162,0.08,0.233,0.052,0,0.5,0.28,0.34,0.4816,0.46,0.04,6.29,20.2,40.8,6.29,20.2,40.8,0.03,0.03,0,750,472.81,703.93,1332.35,0.9,0.7,0.027,5977798.38011657,159.949061461201,37373.1382072948
"1147",0.9,0.289473684210526,0.69,0.72,0.03,43.5880885912419,0.076,0.216,0.03,0,0.44,0.4,0.49,0.3522,0.18,0.21,5.79,10.7,32.3,5.79,10.7,32.3,0.03,0.03,0,1100,622.81,1303.93,1532.35,0.75,0.85,0.022,8502006.26676075,96.762393802695,87864.7781709174
"1148",0.1,0.307692307692308,0.16,0.35,0.035,59.0879132464613,0.078,0.162,0.015,0,0.34,0.14,0.19,0.5248,0.46,0.12,6.79,23.7,21.3,6.79,23.7,21.3,0.06,0.06,0,800,572.81,903.93,982.35,0.9,0.8,0.024,5892992.25718741,252.01696562592,23383.3156531796
"1149",0.5,0.271604938271605,0.41,0.35,0.032,75.864442868261,0.081,0.177,0.062,0,0.43,0.4,0.29,0.8362,0.82,0.09,6.79,19.2,33.3,6.79,19.2,33.3,0.03,0.03,0,1600,572.81,1253.93,1132.35,0.85,0.7,0.022,12786484.2774458,268.673371830083,47591.1854991435
"1150",0.6,0.3375,0.17,0.83,0.029,69.164361044592,0.08,0.16,0.02,0,0.4,0.25,0.26,0.2575,0.25,0.01,6.29,19.7,24.8,6.29,19.7,24.8,0.06,0,0,1050,372.81,853.93,1682.35,0.95,0.75,0.027,9380433.60004494,335.372205230531,27970.2177274856
"1151",0.6,0.276315789473684,0.69,0.44,0.031,75.6144054837256,0.076,0.213,0.071,0,0.15,0.16,0.35,0.7036,0.61,0.24,6.29,22.7,20.3,6.29,22.7,20.3,0.03,0.03,0,1300,622.81,1003.93,1632.35,0.8,0.7,0.021,9948943.68910583,219.336002807319,45359.373571906
"1152",0.1,0.291139240506329,0.29,0.83,0.029,85.1118962837143,0.079,0.231,0.079,0,0.35,0.49,0.37,0.574,0.4,0.29,5.79,23.7,25.8,5.79,23.7,25.8,0,0.03,0,600,622.81,903.93,1032.35,0.85,0.85,0.023,4735118.9618976,480.188430255954,9860.96012220379
"1153",0.1,0.341772151898734,0.48,0.17,0.026,26.3084445892971,0.079,0.175,0.024,0,0.24,0.32,0.26,0.6218,0.39,0.38,6.29,23.2,37.3,6.29,23.2,37.3,0.06,0.06,0,1850,472.81,903.93,1032.35,0.8,0.85,0.027,14281357.4197204,102.307283385526,139592.773330749
