"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2365",0.9,0.275,0.63,0.78,0.061,66.7411695989489,0.04,0.023,0.029,0,0.43,0.12,0.39,0.8908,0.58,0.74,6.79,13.2,32.8,6.79,13.2,32.8,0.06,0.06,130,1450,422.81,1003.93,1732.35,0.85,0.7,0.011,12968648.9843084,304.007577820745,42658.9661918075
"2366",0.7,0.488888888888889,0.54,0.72,0.052,74.5944179500615,0.09,0.039,0.008,0,0.33,0.38,0.31,0.8488,0.37,0.76,6.29,9.2,27.3,6.29,9.2,27.3,0.03,0,190,1150,422.81,1053.93,1832.35,0.8,0.85,0.044,1787374.13275395,621.565935321938,2875.59859892931
"2367",0.8,0.12,0.19,0.47,0.033,48.0908013188988,0.05,0.027,0.073,0,0.5,0.24,0.37,0.8317,0.49,0.67,5.79,17.7,35.3,5.79,17.7,35.3,0.06,0,40,1200,422.81,1203.93,1732.35,0.95,0.7,0.006,18482707.2035657,244.469366846362,75603.3667612074
"2368",0.6,2.2,0.64,0.42,0.121,63.8456538294009,0.02,0.087,0.007,0,0.19,0.14,0.27,0.652,0.4,0.42,6.29,9.2,30.8,6.29,9.2,30.8,0,0.03,50,1550,572.81,1053.93,1132.35,0.9,0.85,0.044,12189846.042292,302.678249669339,40273.2804739318
"2369",0.2,0.275,0.29,0.73,0.119,42.9841934616215,0.04,0.055,0.021,0,0.21,0.43,0.49,0.7492,0.43,0.56,5.79,19.7,24.3,5.79,19.7,24.3,0.03,0.03,80,1500,472.81,1203.93,1482.35,0.85,0.75,0.011,2490273.07783292,673.865993739,3695.50192615514
"2370",0.3,0.966666666666667,0.35,0.05,0.047,55.7737646778405,0.03,0.058,0.016,0,0.34,0.48,0.38,0.907,0.7,0.69,6.29,18.2,37.3,6.29,18.2,37.3,0.03,0.06,150,1250,472.81,653.93,1182.35,0.8,0.7,0.029,13979995.1902855,251.134501363244,55667.3619689741
"2371",0.2,0.6125,0.05,0.56,0.091,28.941739246784,0.08,0.006,0.083,0,0.47,0.46,0.46,0.8942,0.77,0.54,6.29,10.7,20.8,6.29,10.7,20.8,0,0.06,10,2350,572.81,1303.93,1182.35,0.95,0.7,0.049,21502305.7935794,1218.65268234779,17644.3264804162
"2372",0.6,0.8,0.35,0.17,0.041,45.5865764263232,0.03,0.052,0.01,0,0.15,0.29,0.36,0.815,0.63,0.5,6.29,13.2,19.8,6.29,13.2,19.8,0,0.03,170,550,622.81,1053.93,1682.35,0.9,0.75,0.024,3084296.06033782,246.571014100394,12508.7536002185
"2373",0.7,0.2,0.43,0.69,0.051,40.0544390628516,0.08,0.056,0.09,0,0.25,0.21,0.17,0.671,0.53,0.3,6.79,12.2,38.3,6.79,12.2,38.3,0.03,0.03,0,1000,422.81,803.93,2032.35,0.85,0.7,0.016,12983573.3679659,447.045584031607,29043.0636868742
"2374",0.4,0.225,0.51,0.38,0.093,83.1186321673557,0.08,0.045,0.05,0,0.36,0.39,0.36,0.5716,0.32,0.37,5.79,21.2,30.8,5.79,21.2,30.8,0.03,0.03,170,2450,372.81,703.93,1582.35,0.8,0.75,0.018,15982731.1287443,328.875497957107,48598.1206505961
"2375",0.8,0.485714285714286,0.38,0.5,0.171,69.1407149498979,0.07,0.071,0.043,0,0.21,0.12,0.47,0.8656,0.72,0.52,6.79,18.7,39.3,6.79,18.7,39.3,0.06,0.06,70,1850,572.81,953.93,1682.35,1,0.75,0.034,11700339.8303473,198.801201993644,58854.4722718599
"2376",0.3,0.8,0.81,0.69,0.067,59.044264327098,0.02,0.087,0.077,0,0.18,0.44,0.26,0.5791,0.31,0.39,6.29,8.2,25.3,6.29,8.2,25.3,0.03,0.06,90,1450,572.81,853.93,1582.35,0.9,0.8,0.016,3060598.28866461,577.871088714744,5296.33398942271
"2377",0.8,1.3,0.41,0.73,0.152,55.831820601645,0.03,0.003,0.076,0,0.16,0.16,0.36,0.8992,0.79,0.52,5.79,17.7,28.8,5.79,17.7,28.8,0,0.03,40,1250,472.81,903.93,2082.35,0.95,0.8,0.039,9157495.24653491,287.373687228569,31866.1577364642
"2378",0.4,0.1875,0.39,0.48,0.188,50.7819059300617,0.08,0.063,0.085,0,0.3,0.29,0.32,0.8442,0.59,0.62,6.29,9.7,26.8,6.29,9.7,26.8,0.03,0.03,30,1150,472.81,953.93,1332.35,0.75,0.7,0.015,7053867.7400283,303.402314237635,23249.2219373893
"2379",0.1,0.477777777777778,0.88,0.3,0.149,37.2228240220715,0.09,0.018,0.041,0,0.32,0.2,0.12,0.7387,0.33,0.61,6.29,24.2,32.3,6.29,24.2,32.3,0.03,0.03,170,2350,422.81,953.93,1932.35,0.95,0.85,0.043,10487090.7606714,300.966122118933,34844.7549074218
"2380",0.1,0.416666666666667,0.58,0.42,0.068,35.2250559943576,0.06,0.076,0.015,0,0.18,0.16,0.44,0.9356,0.77,0.72,6.79,11.2,38.3,6.79,11.2,38.3,0.03,0,30,2450,572.81,1303.93,2032.35,0.8,0.65,0.025,30089515.5304771,744.794418633727,40399.7596889544
"2381",0.2,0.18,0.63,0.49,0.065,37.1509261411699,0.05,0.095,0.06,0,0.1,0.3,0.5,0.6984,0.42,0.48,6.79,8.2,20.8,6.79,8.2,20.8,0.06,0,80,1700,572.81,1253.93,1782.35,0.9,0.85,0.009,12480308.2679562,316.426751903879,39441.3815926263
"2382",0.7,0.4,0.18,0.88,0.16,33.8357659266207,0.04,0.096,0.077,0,0.27,0.2,0.45,0.922,0.8,0.61,6.79,13.2,31.8,6.79,13.2,31.8,0.03,0.06,40,650,472.81,903.93,2132.35,1,0.75,0.016,2590760.46831131,361.454340129322,7167.60094064544
"2383",0.9,0.575,0.23,0.29,0.123,95.1406924914274,0.04,0.052,0.088,0,0.31,0.22,0.25,0.8624,0.57,0.68,6.29,16.7,37.8,6.29,16.7,37.8,0,0.03,30,2000,672.81,1053.93,2082.35,0.95,0.75,0.023,19015053.4423816,197.712790884004,96175.1303866704
"2384",0.9,0.4,0.72,0.84,0.045,45.8619303993014,0.05,0.002,0.089,0,0.12,0.35,0.3,0.87,0.74,0.5,6.29,20.7,34.8,6.29,20.7,34.8,0.06,0,0,1850,422.81,1053.93,982.35,0.95,0.8,0.02,28232603.4432431,252.254816558762,111920.968758455
