"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"4876",0,0.111111111111111,0.73,0.5,0.178,62.766818398625,0.09,0.019,0.024,0,0.39,0.36,0.12,0.6895,0.55,0.31,6.29,8.2,36.8,6.29,8.2,36.8,0,0,0,2150,522.81,703.93,1782.35,0.75,0.8,0.01,13847684.9276329,256.536928327877,53979.3043359993
"4877",0.8,0.311111111111111,0.07,0.68,0.025,34.1490657943391,0.09,0.073,0.045,0,0.46,0.16,0.19,0.9316,0.88,0.43,5.79,13.2,23.8,5.79,13.2,23.8,0.03,0.03,0,600,522.81,653.93,1782.35,0.9,0.75,0.028,4778055.64894082,241.61545391292,19775.4554667801
"4878",0.8,0.242857142857143,0.34,0.56,0.182,45.9834516769833,0.07,0.057,0.022,0,0.32,0.43,0.14,0.6733,0.67,0.01,6.79,21.2,37.8,6.79,21.2,37.8,0.03,0,0,1900,522.81,753.93,1582.35,0.9,0.65,0.017,11944447.5586344,137.326119417681,86978.7015702745
"4879",0.6,0.41,0.3,0.22,0.119,62.4764380362929,0.1,0.049,0.037,0,0.29,0.23,0.16,0.7188,0.62,0.26,6.79,24.7,37.3,6.79,24.7,37.3,0,0,0,1200,422.81,653.93,1332.35,0.9,0.8,0.041,8355373.14411834,131.818079402755,63385.6386163044
"4880",0.6,2,0.5,0.22,0.021,45.479879158872,0.02,0.003,0.003,0,0.3,0.23,0.24,0.5864,0.56,0.06,6.29,8.2,35.3,6.29,8.2,35.3,0.03,0.03,0,950,422.81,1203.93,1082.35,0.9,0.85,0.04,7785742.86247862,137.458191273742,56640.8068543086
"4881",0.6,1,0.52,0.24,0.082,45.5633208663731,0.03,0.098,0.055,0,0.29,0.38,0.37,0.5548,0.47,0.16,5.79,15.7,39.3,5.79,15.7,39.3,0.03,0.03,0,2400,572.81,653.93,1782.35,0.85,0.65,0.03,17422223.214061,155.607353029245,111962.72460715
"4882",0.3,0.657142857142857,0.14,0.49,0.084,85.795474350631,0.07,0.098,0.05,0,0.43,0.22,0.38,0.504,0.2,0.38,6.29,14.2,37.8,6.29,14.2,37.8,0,0,0,1350,472.81,903.93,1082.35,0.8,0.7,0.046,10281460.8407866,388.992769418732,26430.9818821314
"4883",0.2,1.35,0.83,0.8,0.083,69.63350949157,0.02,0.071,0.08,0,0.35,0.44,0.42,0.8164,0.73,0.32,6.29,9.2,20.8,6.29,9.2,20.8,0.03,0.03,0,2400,372.81,1153.93,1482.35,1,0.75,0.027,17399569.0592166,674.725129914971,25787.6404594702
"4884",0.6,0.65,0.47,0.18,0.122,67.1023107182812,0.06,0.054,0.047,0,0.5,0.4,0.41,0.3562,0.26,0.13,5.79,24.2,20.3,5.79,24.2,20.3,0.03,0.03,0,1900,572.81,653.93,1482.35,0.9,0.7,0.039,12261994.4165943,120.48224818479,101774.282944882
"4885",0.1,0.216666666666667,0.75,0.01,0.058,76.2039903691206,0.06,0.088,0.039,0,0.45,0.32,0.19,0.741,0.63,0.3,6.29,12.2,26.3,6.29,12.2,26.3,0.03,0.03,0,1950,422.81,703.93,1882.35,0.85,0.7,0.013,15342310.6686697,40.7287620208358,376694.746106472
"4886",0.9,0.211111111111111,0.73,0.67,0.188,79.6617910668117,0.09,0.002,0.077,0,0.41,0.4,0.35,0.4963,0.31,0.27,6.29,16.2,19.8,6.29,16.2,19.8,0.03,0.06,0,2350,572.81,1153.93,1182.35,0.8,0.8,0.019,12463768.8212787,89.9016016989972,138637.895051181
"4887",0.6,0.7,0.43,0.63,0.167,55.7737646778405,0.04,0.073,0.073,0,0.11,0.23,0.32,0.7558,0.63,0.34,6.79,18.2,33.3,6.79,18.2,33.3,0.03,0.03,0,2250,622.81,803.93,1882.35,0.75,0.75,0.028,13494051.0175369,168.295410106325,80180.7429508134
"4888",0,0.4,0.75,0.3,0.069,25.5559200630855,0.09,0.014,0.019,0,0.41,0.16,0.13,0.8728,0.76,0.47,6.79,21.7,35.3,6.79,21.7,35.3,0.06,0,0,1300,472.81,703.93,1932.35,0.9,0.7,0.036,10429885.1359624,356.127198670359,29286.9659349345
"4889",0.7,0.4375,0.79,0.51,0.037,59.3474856420378,0.08,0.093,0.099,0,0.47,0.33,0.19,0.725,0.5,0.45,6.79,9.2,39.3,6.79,9.2,39.3,0.03,0,0,2250,422.81,803.93,1682.35,0.9,0.8,0.035,18290555.5089478,404.956428340534,45166.7246866544
"4890",0.2,0.88,0.86,0.89,0.023,41.9293345136569,0.05,0.081,0.068,0,0.43,0.12,0.23,0.7984,0.76,0.16,6.29,23.2,26.8,6.29,23.2,26.8,0.06,0,0,1450,522.81,1003.93,1532.35,0.8,0.8,0.044,12120006.8559235,536.996679405176,22569.9847331433
"4891",0.1,0.311111111111111,0.48,0.77,0.087,76.8574716825744,0.09,0.029,0.081,0,0.21,0.18,0.15,0.3065,0.27,0.05,6.79,18.2,28.3,6.79,18.2,28.3,0.06,0.06,0,1950,572.81,703.93,982.35,0.8,0.7,0.028,13348878.0538116,587.004569388377,22740.671452899
"4892",0.9,0.48,0.19,0.45,0.052,52.376776272056,0.05,0.058,0.083,0,0.35,0.39,0.4,0.4937,0.17,0.39,6.29,17.2,32.3,6.29,17.2,32.3,0.03,0.06,0,700,572.81,753.93,2082.35,0.85,0.75,0.024,4970652.82740677,78.0277647511234,63703.6424567732
"4893",0.5,1.85,0.84,0.26,0.177,46.3456149397127,0.02,0.009,0.039,0,0.22,0.15,0.3,0.4462,0.22,0.29,5.79,15.2,40.3,5.79,15.2,40.3,0.03,0.06,0,1600,422.81,1003.93,1432.35,0.8,0.85,0.037,8550551.53862429,86.9310045719044,98360.206243237
